,country,experience_ml,age,role_group,gender,salary_avg
322,3,1,2,2,0,61.283233089426346
323,5,2,5,0,0,156.15953479311986
324,4,5,4,1,0,222.8988288144251
325,1,0,1,0,0,172.7492065931607
326,7,5,6,0,0,270.14982462478054
327,1,4,7,1,0,270.14982462478054
328,3,5,8,0,0,270.14982462478054
329,3,2,2,1,0,187.2326310891366
330,5,6,5,0,0,156.15953479311986
331,2,5,3,0,0,187.2326310891366
332,6,3,6,1,0,187.2326310891366
333,3,5,3,0,0,249.33775301859075
334,10,0,4,2,1,141.71828898488442
335,11,1,5,1,0,222.8988288144251
336,16,0,2,1,0,156.15953479311986
337,15,2,3,0,0,172.7492065931607
338,0,0,1,0,0,103.06289000048194
339,3,0,4,2,0,27.02080847004485
340,2,0,2,2,0,172.7492065931607
341,2,1,1,1,0,118.09813614437608
342,19,0,3,0,0,27.02080847004485
343,3,2,3,2,0,233.04048883648673
344,5,0,2,2,0,130.7087424308525
345,3,2,2,0,0,103.06289000048194
346,0,0,1,2,0,103.06289000048194
347,7,7,5,0,2,233.04048883648673
348,9,4,3,0,0,172.7492065931607
349,2,1,3,1,0,141.71828898488442
350,4,2,3,1,0,187.2326310891366
351,1,0,9,1,0,141.71828898488442
352,6,1,2,0,1,53.32961628929493
353,4,3,3,0,0,212.00749960243928
354,0,0,3,3,0,103.06289000048194
355,0,3,2,0,1,156.15953479311986
356,6,1,6,2,0,233.04048883648673
357,0,1,3,0,0,156.15953479311986
358,8,1,1,1,0,77.73682636782002
359,1,0,1,1,0,27.02080847004485
360,1,2,2,0,0,187.2326310891366
361,14,4,3,0,0,212.00749960243928
362,1,1,5,1,0,187.2326310891366
363,12,2,3,1,1,187.2326310891366
364,0,1,0,0,0,27.02080847004485
365,3,0,7,2,0,200.19851193256022
366,2,0,2,0,0,141.71828898488442
367,3,0,5,2,0,222.8988288144251
368,8,0,4,1,0,130.7087424308525
369,1,5,9,2,0,103.06289000048194
370,6,0,1,1,0,141.71828898488442
371,3,1,3,0,0,43.10818354904701
372,2,0,7,2,0,53.32961628929493
373,1,0,0,1,0,156.15953479311986
374,2,3,2,1,0,141.71828898488442
375,1,0,3,2,0,141.71828898488442
376,0,1,2,3,0,53.32961628929493
377,2,0,5,0,0,130.7087424308525
378,9,1,4,0,0,141.71828898488442
379,0,2,5,0,0,200.19851193256022
380,6,5,3,0,0,156.15953479311986
381,4,1,3,2,0,156.15953479311986
382,1,1,2,0,0,212.00749960243928
383,2,3,2,1,0,130.7087424308525
384,6,1,2,1,0,200.19851193256022
385,13,4,4,0,1,141.71828898488442
386,14,2,4,1,0,156.15953479311986
387,2,4,7,3,0,187.2326310891366
388,3,1,6,2,0,249.33775301859075
389,8,3,3,3,1,67.95421998648453
390,18,2,9,0,0,77.73682636782002
391,4,0,3,0,1,27.02080847004485
392,2,5,8,0,0,222.8988288144251
393,7,3,7,1,0,270.14982462478054
394,3,6,3,0,1,212.00749960243928
395,2,0,0,1,0,89.16583905874286
396,4,2,1,1,0,172.7492065931607
397,3,0,2,2,1,187.2326310891366
398,0,5,9,2,0,43.10818354904701
399,0,0,3,2,0,141.71828898488442
400,5,3,6,2,0,200.19851193256022
401,3,1,2,2,1,172.7492065931607
402,9,4,2,1,1,200.19851193256022
403,3,2,1,0,0,200.19851193256022
404,0,0,5,2,0,118.09813614437608
405,8,6,5,0,0,67.95421998648453
406,9,3,4,1,1,118.09813614437608
407,0,4,5,0,0,156.15953479311986
408,0,1,5,0,0,61.283233089426346
409,3,0,6,2,1,141.71828898488442
